,STIP,VTIP,STPZ,TIP,SPIP,LTPZ,SHV,BIL,SHY,IEI,IEF,TLH,TLT,EDV
30-Nov-04,,,,59.476189,,,,,61.330475,,53.574978,,49.63987,
31-Dec-04,,,,60.522346,,,,,61.472912,,54.200394,,50.959694,
31-Jan-05,,,,60.528034,,,,,61.450279,,54.672523,,52.778248,
28-Feb-05,,,,60.208397,,,,,61.292156,,53.924374,,52.001274,
31-Mar-05,,,,60.340164,,,,,61.30201,,53.70686,,51.764851,
29-Apr-05,,,,61.412704,,,,,61.621147,,55.058331,,53.765659,
31-May-05,,,,61.879288,,,,,61.864826,,56.070477,,55.452564,
30-Jun-05,,,,62.199547,,,,,62.017567,,56.338707,,56.652992,
29-Jul-05,,,,60.662373,,,,,61.784924,,55.106579,,54.737675,
31-Aug-05,,,,62.197796,,,,,62.192123,,56.208981,,56.64064,
30-Sep-05,,,,62.101624,,,,,62.006027,,55.224094,,54.594265,
31-Oct-05,,,,61.286865,,,,,61.955067,,54.539719,,53.370899,
30-Nov-05,,,,61.395008,,,,,62.196495,,54.880795,,53.739235,
30-Dec-05,,,,62.029533,,,,,62.413673,,55.630371,,55.341621,
31-Jan-06,,,,62.047695,,,,,62.522587,,55.239212,,54.60091,
28-Feb-06,,,,62.047695,,,,,62.543678,,55.182011,,55.205906,
31-Mar-06,,,,60.720448,,,,,62.652523,,54.432709,,52.683006,
28-Apr-06,,,,60.577991,,,,,62.790886,,54.091316,,51.232937,
31-May-06,,,,60.757721,,,,,62.895733,,54.033554,,51.135136,
30-Jun-06,,,,61.017593,,,,,63.044422,,54.157635,,51.73769,
31-Jul-06,,,,61.939476,,,,,63.463654,,55.066044,,52.856953,
31-Aug-06,,,,62.969467,,,,,63.940891,,56.037102,,54.472286,
29-Sep-06,,,,63.039238,,,,,64.221634,,56.713833,,55.515415,
31-Oct-06,,,,62.992912,,,,,64.489594,,57.01923,,55.985413,
30-Nov-06,,,,63.66843,,,,,64.80143,,57.766994,,57.277679,
29-Dec-06,,,,62.201557,,,,,64.844055,,57.030113,,55.733631,
31-Jan-07,,,,62.346352,,,95.779671,,64.949501,75.71502686,56.801804,65.70123291,55.179062,
28-Feb-07,,,,63.580318,,,96.162109,,65.421654,76.79985809,57.969078,67.57457733,57.048992,
30-Mar-07,,,,63.787411,,,96.530472,,65.716507,77.05853271,57.888962,67.05809784,56.079006,
30-Apr-07,,,,64.21125,,,96.889168,,65.917336,77.38315582,58.240055,67.46173096,56.586521,
31-May-07,,,,63.369156,15.326157,,97.343086,83.328865,65.87294,76.70845032,57.428497,66.37371063,55.277229,
29-Jun-07,,,,63.233089,15.249541,,97.768471,83.692696,66.185837,76.82645416,57.159912,65.91770172,54.717003,
31-Jul-07,,,,64.687904,15.650635,,98.130264,84.027145,66.784233,78.08592987,58.449978,67.57907867,56.533119,
31-Aug-07,,,,65.219711,15.958167,,98.775818,84.384979,67.484711,79.53195953,59.772686,68.81215668,57.543739,
28-Sep-07,,,,66.054825,15.996324,,99.09893,84.545242,67.857178,79.90576172,59.82552,68.75615692,57.675049,
31-Oct-07,,,,66.82515,16.223989,,99.483765,84.877907,68.18148,80.54161072,60.469742,70.26909637,58.722485,
30-Nov-07,,,,69.57692,16.875818,,100.085434,85.21357,69.403839,83.22299194,62.917336,72.9065094,61.864902,
31-Dec-07,,,,69.620323,16.843094,,100.288826,85.414429,69.611824,83.45811462,62.949184,72.72107697,61.476559,
31-Jan-08,,,,72.107674,17.45834,,100.993423,85.750198,70.763695,85.9020462,65.061699,74.72931671,62.765026,47.44550705
29-Feb-08,,,,73.133545,17.684313,,101.186134,85.890419,71.494835,87.23649597,65.868004,75.17951202,62.479332,45.78958893
31-Mar-08,,,,73.031204,17.701887,,101.505127,86.090889,71.676071,87.91437531,66.748863,75.70018005,63.815567,48.71973419
30-Apr-08,,,,72.009064,17.265989,,101.592667,86.034607,71.075851,85.89445496,65.135269,74.34008026,62.228924,46.31619263
30-May-08,,,,72.086014,17.301487,,101.607399,86.117279,70.829765,84.83966064,63.977551,72.85478973,60.556084,44.55615616
30-Jun-08,,,,73.375954,17.65395,,101.797821,86.318451,71.003677,85.46649933,64.710678,74.00995636,62.162991,47.01942825
31-Jul-08,,,,72.928658,17.553921,,102.043236,86.480423,71.311974,86.08221436,65.176941,74.36849976,61.934628,45.67166901
29-Aug-08,,,,73.498108,17.65589,,102.168434,86.548241,71.644577,86.92554474,66.171944,75.7481842,63.631237,48.43113708
30-Sep-08,,,,70.541962,16.932775,,102.484352,86.988235,72.201973,87.7927475,66.079102,75.8406601,64.570381,50.1360817
31-Oct-08,,,,64.835457,15.649047,,102.684395,86.785896,72.999535,89.08242035,65.508934,72.92948914,63.368938,49.08867264
28-Nov-08,,,,65.403999,15.743376,,103.047852,86.742416,73.806351,92.5118103,70.588303,81.49738312,72.456909,60.44626999
31-Dec-08,,,,69.6576,16.52582,,103.136528,86.768784,74.22197,94.14130402,74.227974,87.67214966,82.348953,73.09945679
30-Jan-09,,,,69.629509,16.777334,,103.080452,86.939362,73.897507,92.93563843,71.342621,81.66685486,71.585274,57.40522385
27-Feb-09,,,,68.09935,16.434999,,103.01786,86.935532,73.790474,92.34532166,70.818321,81.07148743,70.48867,56.6084938
31-Mar-09,,,,72.121277,17.38513,,103.13475,86.929832,74.158882,93.97015381,73.165047,85.0577774,73.341515,59.43245697
30-Apr-09,,,,70.826622,16.955465,,103.191795,86.982956,74.036484,92.67156219,71.156509,81.21395874,68.242775,52.22697449
29-May-09,,,,72.240761,17.392107,,103.143074,86.992432,74.077965,91.76733398,69.678337,79.37905121,65.721321,49.48325729
